OBJECTID,Neighbourhood_Crime_Rates_Neigh,Neighbourhood_Crime_Rates_Hood_,Hood_ID,Neighbourhood,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_AVG,Assault_CHG,Assault_Rate_2018,Auto_Theft_2014,Auto_Theft_2015,Auto_Theft_2016,Auto_Theft_2017,Auto_Theft_2018,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2018,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2018,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_AVG,Robbery_CHG,Robbery_Rate_2018,Theft_Over_2014,Theft_Over_2015,Theft_Over_2016,Theft_Over_2017,Theft_Over_2018,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2018,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_AVG,Homicide_CHG,Homicide_Rate_2018,Population,Shape__Area,Shape__Length
1,Yonge-St.Clair,097,97,Yonge-St.Clair,58,38,51,46,61,50.8,33%,1912.8,28,32,22,46,69,39.4,50%,2163.7,29,16,28,32,23,25.6,-28%,721.2,12,25,14,21,19,18.2,-10%,595.8,3,6,4,6,3,4.4,-50%,94.1,0,0,0,0,0,N/A,N/A,0,3189,1161314.75244141,5873.27050652613
2,York University Heights,027,27,York University Heights,78,101,111,120,138,109.6,15%,375.4,16,13,8,19,23,15.8,21%,62.6,43,59,61,34,52,49.8,53%,141.4,28,22,23,31,15,23.8,-52%,40.8,4,4,3,6,2,3.8,-67%,5.4,1,0,2,0,1,1.3,N/A,2.7,36764,13246655.9714355,18504.7776156274
3,Lansing-Westgate,038,38,Lansing-Westgate,216,203,223,226,197,213,-13%,1923.5,21,25,23,36,22,25.4,-39%,214.8,43,78,72,73,52,63.6,-29%,507.7,81,53,49,43,41,53.4,-5%,400.3,8,4,7,2,6,5.4,200%,58.6,0,0,0,0,0,N/A,N/A,0,10242,5346185.87353516,11112.1094187908
4,Yorkdale-Glen Park,031,31,Yorkdale-Glen Park,121,141,136,124,127,129.8,2%,696.5,47,27,25,30,28,31.4,-7%,153.6,83,50,65,31,56,57,81%,307.1,42,32,22,18,35,29.8,94%,192,8,6,8,10,13,9,30%,71.3,1,1,1,1,2,1.2,100%,11,18233,6038325.94311523,10079.4268374564
5,Stonegate-Queensway,016,16,Stonegate-Queensway,109,140,124,112,128,122.6,14%,576.4,20,17,22,14,41,22.8,193%,184.6,48,37,34,37,41,39.4,11%,184.6,33,22,41,35,36,33.4,3%,162.1,10,3,4,5,4,5.2,-20%,18,1,0,0,0,0,1,N/A,0,22207,7946201.71362305,11853.1898033065
6,Tam O'Shanter-Sullivan,118,118,Tam O'Shanter-Sullivan,63,58,50,57,56,56.8,-2%,128.2,10,14,15,24,46,21.8,92%,105.3,22,23,24,17,18,20.8,6%,41.2,22,26,21,23,11,20.6,-52%,25.2,1,3,2,4,2,2.4,-50%,4.6,0,1,0,0,1,1,N/A,2.3,43695,5422344.64331055,10750.4682895881
7,The Beaches,063,63,The Beaches,349,392,380,435,457,402.6,5%,1610.4,25,22,29,32,22,26,-31%,77.5,101,96,84,110,236,125.4,115%,831.6,71,59,63,96,78,73.4,-19%,274.9,19,32,19,26,30,25.2,15%,105.7,0,0,0,0,0,N/A,N/A,0,28378,3595829.08642578,11275.1812840093
8,Thistletown-Beaumond Heights,003,3,Thistletown-Beaumond Heights,45,47,39,21,30,36.4,43%,187,9,19,17,14,25,16.8,79%,155.9,23,27,26,23,25,24.8,9%,155.9,5,6,11,6,8,7.2,33%,49.9,7,3,10,7,7,6.8,0%,43.6,0,1,0,0,2,1.5,N/A,12.5,16039,3339481.015625,10828.4442694002
9,Thorncliffe Park,055,55,Thorncliffe Park,111,124,157,147,135,134.8,-8%,1616.4,73,46,68,87,114,77.6,31%,1364.9,69,51,44,43,60,53.4,40%,718.4,29,38,34,36,42,35.8,17%,502.9,15,16,18,18,15,16.4,-17%,179.6,3,1,1,4,0,2.3,-100%,0,8352,3126553.82421875,7502.70932015893
10,Danforth East York,059,59,Danforth East York,214,203,214,203,227,212.2,12%,2165,87,99,130,94,156,113.2,66%,1487.8,109,141,100,92,115,111.4,25%,1096.8,34,36,37,67,33,41.4,-51%,314.7,34,42,36,32,54,39.6,69%,515,0,0,0,0,0,N/A,N/A,0,10485,2188597.65380859,7623.8578029557
11,Humewood-Cedarvale,106,106,Humewood-Cedarvale,197,198,171,222,222,202,0%,1995.7,64,57,22,43,74,52,72%,665.2,77,79,80,74,89,79.8,20%,800.1,31,41,37,51,36,39.2,-29%,323.6,13,10,15,16,21,15,31%,188.8,0,1,0,1,0,1,-100%,0,11124,1871263.38720703,6036.26817741256
12,Islington-City Centre West,014,14,Islington-City Centre West,249,253,297,265,238,260.4,-10%,419.7,51,51,56,38,62,51.6,63%,109.3,29,28,28,28,31,28.8,11%,54.7,58,45,49,60,40,50.4,-33%,70.5,10,5,8,19,8,10,-58%,14.1,1,0,0,0,2,1.5,N/A,3.5,56701,16239688.6918945,20311.9293923463
13,Danforth,066,66,Danforth,17,30,14,18,19,19.6,6%,113.4,5,5,1,7,16,6.8,129%,95.5,12,12,7,9,6,9.2,-33%,35.8,1,1,5,2,1,2,-50%,6,0,2,1,0,2,1.67,N/A,11.9,1,3,1,1,2,1.6,100%,11.9,16749,1119664.69775391,6233.17259531118
14,Rustic,028,28,Rustic,77,105,91,99,109,96.2,10%,1448.5,15,10,8,14,13,12,-7%,172.8,32,22,15,32,34,27,6%,451.8,24,23,30,31,20,25.6,-35%,265.8,2,4,2,2,4,2.8,100%,53.2,1,1,1,0,0,1,N/A,0,7525,2096348.76586914,5888.97164994937
15,Scarborough Village,139,139,Scarborough Village,269,296,346,342,340,318.6,-1%,2334.2,118,105,106,87,77,98.6,-11%,528.6,98,134,93,98,96,103.8,-2%,659.1,60,84,66,75,85,74,13%,583.6,28,45,35,36,22,33.2,-39%,151,1,0,6,1,0,2.7,-100%,0,14566,3151015.08251953,7922.76449106579
16,South Parkdale,085,85,South Parkdale,87,107,98,105,105,100.4,0%,305.1,9,15,10,13,12,11.8,-8%,34.9,26,45,43,26,22,32.4,-15%,63.9,21,16,19,27,20,20.6,-26%,58.1,3,5,5,1,1,3,0%,2.9,0,0,1,0,0,1,N/A,0,34420,2286974.10668945,10802.8320696002
17,South Riverdale,070,70,South Riverdale,15,26,16,20,17,18.8,-15%,53,14,27,22,15,22,20,47%,68.6,70,41,35,49,35,46,-29%,109.1,3,6,2,8,8,5.4,0%,24.9,5,3,1,4,4,3.4,0%,12.5,1,0,3,3,2,2.3,100%,6.2,32071,10964573.7402344,43080.7247850628
18,St.Andrew-Windfields,040,40,St.Andrew-Windfields,59,69,114,96,86,84.8,-10%,451.1,26,20,22,28,31,25.4,11%,162.6,34,39,44,39,42,39.6,8%,220.3,27,12,35,21,10,21,-52%,52.4,4,2,3,8,2,3.8,-75%,10.5,1,0,0,2,0,1.5,-100%,0,19066,7299579.79418945,13025.9972757258
19,Taylor-Massey,061,61,Taylor-Massey,54,45,42,49,60,50,22%,626,17,14,10,25,17,16.6,-32%,177.4,18,18,8,11,16,14.2,45%,166.9,26,17,12,18,16,17.8,-11%,166.9,1,2,0,4,3,2.5,-25%,31.3,0,1,1,1,0,1,-100%,0,9584,1062970.05541992,5940.70014432376
20,Humber Summit,021,21,Humber Summit,33,42,38,50,35,39.6,-30%,246.7,8,4,9,7,9,7.4,29%,63.4,23,9,9,8,6,11,-25%,42.3,8,6,8,2,7,6.2,250%,49.3,3,1,1,1,1,1.4,0%,7,0,1,0,2,1,1.3,0%,7,14188,7966905.41308594,12608.5730101444
21,Humbermede,022,22,Humbermede,32,43,49,40,52,43.2,30%,862.5,3,3,5,8,14,6.6,75%,232.2,31,25,30,33,27,29.2,-18%,447.8,9,5,2,10,8,6.8,-20%,132.7,4,5,7,9,3,5.6,-67%,49.8,0,0,1,1,0,1,-100%,0,6029,4421665.03710938,12445.721939439
22,Centennial Scarborough,133,133,Centennial Scarborough,351,389,369,406,385,380,-5%,3521.8,46,33,34,47,60,44,28%,548.8,121,149,80,85,98,106.6,15%,896.5,83,81,68,125,72,85.8,-42%,658.6,11,13,14,25,13,15.2,-48%,118.9,0,0,0,1,0,1,-100%,0,10932,5468486.34399414,12038.4812149095
23,Church-Yonge Corridor,075,75,Church-Yonge Corridor,36,44,54,45,53,46.4,18%,145.2,12,21,22,11,18,16.8,64%,49.3,18,16,20,12,12,15.6,0%,32.9,16,6,14,4,9,9.8,125%,24.7,1,5,2,3,5,3.2,67%,13.7,1,3,2,1,3,2,200%,8.2,36499,1364546.63037109,6347.04690925639
24,Clairlea-Birchmount,120,120,Clairlea-Birchmount,153,132,159,157,133,146.8,-15%,382.7,12,15,19,11,16,14.6,45%,46,64,46,50,71,59,58,-17%,169.8,25,15,15,18,11,16.8,-39%,31.7,10,7,3,7,9,7.2,29%,25.9,0,2,1,0,3,2,N/A,8.6,34751,7397299.84033203,16485.3965614805
25,Cliffcrest,123,123,Cliffcrest,645,745,793,820,787,758,-4%,3956.8,52,41,36,58,58,49,0%,291.6,148,175,194,243,314,214.8,29%,1578.7,66,44,62,58,93,64.6,60%,467.6,43,41,56,52,50,48.4,-4%,251.4,0,1,0,0,1,1,N/A,5,19890,7191379.70996094,19946.0229787457
26,Flemingdon Park,044,44,Flemingdon Park,36,39,45,52,52,44.8,0%,218.1,12,14,3,17,24,14,41%,100.7,44,38,20,50,50,40.4,0%,209.7,12,8,11,8,17,11.2,113%,71.3,4,4,4,3,1,3.2,-67%,4.2,1,0,0,0,0,1,N/A,0,23841,2473306.35644531,8487.75189716526
27,Corso Italia-Davenport,092,92,Corso Italia-Davenport,93,98,106,90,100,97.4,11%,878.7,15,9,21,8,26,15.8,225%,228.5,21,29,23,36,15,24.8,-58%,131.8,25,12,20,20,11,17.6,-45%,96.7,1,2,2,4,1,2,-75%,8.8,0,1,0,0,0,1,N/A,0,11380,1884658.1550293,6077.82489042755
28,Ionview,125,125,Ionview,265,285,267,274,284,275,4%,2599.5,296,259,311,323,495,336.8,53%,4530.9,143,118,126,117,154,131.6,32%,1409.6,76,64,74,93,69,75.2,-26%,631.6,40,57,40,58,50,49,-14%,457.7,0,0,0,0,0,N/A,N/A,0,10925,1952873.80981445,6356.14995723727
29,Junction Area,090,90,Junction Area,164,186,184,167,201,180.4,20%,4227.1,20,9,18,14,9,14,-36%,189.3,75,84,62,61,75,71.4,23%,1577.3,32,30,25,37,33,31.4,-11%,694,7,3,12,12,10,8.8,-17%,210.3,1,0,0,0,0,1,N/A,0,4755,2631832.25390625,7789.28165589304
30,Broadview North,057,57,Broadview North,26,28,34,28,26,28.4,-7%,349,11,3,18,18,19,13.8,6%,255.1,23,30,20,23,24,24,4%,322.2,3,7,4,6,1,4.2,-83%,13.4,3,3,3,4,6,3.8,50%,80.5,0,0,0,1,0,1,-100%,0,7449,1745969.19287109,7178.12383605284
31,Princess-Rosethorn,010,10,Princess-Rosethorn,75,40,46,59,50,54,-15%,582.2,42,40,29,52,57,44,10%,663.7,95,66,114,131,107,102.6,-18%,1245.9,16,8,20,18,13,15,-28%,151.4,10,12,11,14,10,11.4,-29%,116.4,0,0,1,0,1,1,N/A,11.6,8588,5171203.28125,11051.877757467
32,North Riverdale,068,68,North Riverdale,38,57,55,63,49,52.4,-22%,534.2,16,20,23,24,22,21,-8%,239.8,41,32,39,40,48,40,20%,523.3,10,5,4,13,21,10.6,62%,228.9,5,5,4,6,3,4.6,-50%,32.7,0,0,1,3,0,2,-100%,0,9173,1786040.72900391,5475.63566796403
33,Etobicoke West Mall,013,13,Etobicoke West Mall,141,130,198,161,197,165.4,22%,4524.6,12,18,16,11,24,16.2,118%,551.2,72,80,75,82,68,75.4,-17%,1561.8,16,26,24,12,20,19.6,67%,459.3,3,5,6,6,8,5.6,33%,183.7,1,0,1,0,0,1,N/A,0,4354,1796641.64575195,6476.05876420878
34,Forest Hill North,102,102,Forest Hill North,57,63,78,88,72,71.6,-18%,628.3,14,10,29,30,54,27.4,80%,471.2,16,14,17,15,28,18,87%,244.3,12,15,16,32,25,20,-22%,218.2,1,2,1,1,4,1.8,300%,34.9,0,0,0,0,0,N/A,N/A,0,11459,1569106.00561523,5693.11590493732
35,Glenfield-Jane Heights,025,25,Glenfield-Jane Heights,240,261,229,237,252,243.8,6%,964.3,37,28,35,38,41,35.8,8%,156.9,134,112,84,102,64,99.2,-37%,244.9,46,51,42,49,33,44.2,-33%,126.3,3,13,18,4,10,9.6,150%,38.3,0,0,1,2,0,1.5,-100%,0,26132,5149746.89477539,11437.3630678548
36,Greenwood-Coxwell,065,65,Greenwood-Coxwell,27,32,31,25,37,30.4,48%,259.4,19,15,9,22,10,15,-55%,70.1,27,27,25,33,19,26.2,-42%,133.2,17,21,12,13,16,15.8,23%,112.2,2,3,2,6,4,3.4,-33%,28,2,0,0,0,0,2,N/A,0,14261,1675174.69580078,6843.00227817039
37,Guildwood,140,140,Guildwood,106,136,174,161,176,150.6,9%,1185.8,63,53,41,52,59,53.6,13%,397.5,51,57,66,58,65,59.4,12%,437.9,23,21,24,34,44,29.2,29%,296.5,24,14,26,23,20,21.4,-13%,134.8,0,0,0,0,0,N/A,N/A,0,14842,3804331.12084961,9830.06441832583
38,Trinity-Bellwoods,081,81,Trinity-Bellwoods,101,103,111,103,96,102.8,-7%,394.1,28,16,20,16,18,19.6,13%,73.9,18,25,34,20,22,23.8,10%,90.3,31,13,39,36,11,26,-69%,45.2,2,1,0,5,1,2.25,-80%,4.1,0,0,0,0,0,N/A,N/A,0,24358,1729723.55419922,5343.1215061231
39,Victoria Village,043,43,Victoria Village,139,148,158,132,145,144.4,10%,1236.7,8,8,4,12,8,8,-33%,68.2,50,20,14,13,14,22.2,8%,119.4,26,22,24,20,16,21.6,-20%,136.5,9,3,3,4,1,4,-75%,8.5,0,0,2,1,0,1.5,-100%,0,11725,4755219.19970703,11800.3415707699
40,Waterfront Communities-The Island,077,77,Waterfront Communities-The Island,71,97,94,90,70,84.4,-22%,82.4,39,39,34,59,87,51.6,47%,102.5,101,111,62,106,120,100,13%,141.3,41,39,37,31,17,33,-45%,20,13,13,10,16,17,13.8,6%,20,1,1,0,1,1,1,0%,1.2,84915,13416295.0585938,18366.6080878935
41,West Hill,136,136,West Hill,51,63,62,55,67,59.6,22%,184.2,5,16,19,14,21,15,50%,57.7,33,31,32,41,31,33.6,-24%,85.2,10,12,10,17,17,13.2,0%,46.7,3,1,5,5,2,3.2,-60%,5.5,0,2,0,0,1,1.5,N/A,2.7,36371,9625439.61352539,14976.5717830339
42,West Humber-Clairville,001,1,West Humber-Clairville,72,81,82,69,88,78.4,28%,240.6,16,29,17,31,40,26.6,29%,109.4,52,57,56,58,71,58.8,22%,194.1,35,38,18,24,47,32.4,96%,128.5,1,6,4,12,4,5.4,-67%,10.9,0,3,2,0,0,2.5,N/A,0,36570,30145323.902832,27924.1970319736
43,Westminster-Branson,035,35,Westminster-Branson,55,64,64,69,86,67.6,25%,309.1,8,7,5,6,13,7.8,117%,46.7,24,24,17,17,38,24,124%,136.6,24,24,18,5,12,16.6,140%,43.1,6,5,4,2,5,4.4,150%,18,0,0,0,0,0,N/A,N/A,0,27822,3667761.81176758,11495.3648778872
44,Kennedy Park,124,124,Kennedy Park,343,394,423,400,411,394.2,3%,2257.9,23,17,15,31,26,22.4,-16%,142.8,89,66,72,86,103,83.2,20%,565.8,65,64,78,65,51,64.6,-22%,280.2,7,6,8,9,5,7,-44%,27.5,0,0,0,0,2,2,N/A,11,18203,3580725.22900391,7606.63159319886
45,Kingsview Village-The Westway,006,6,Kingsview Village-The Westway,64,61,100,83,109,83.4,31%,761.9,39,25,27,30,53,34.8,77%,370.5,44,44,43,47,62,48,32%,433.4,10,10,16,17,16,13.8,-6%,111.8,5,7,7,11,21,10.2,91%,146.8,2,1,2,2,2,1.8,100%,14,14306,5063371.16992188,10449.4060822459
46,Bayview Woods-Steeles,049,49,Bayview Woods-Steeles,46,46,58,58,56,52.8,-3%,670.7,12,10,8,13,9,10.4,-31%,107.8,34,23,12,25,21,23,-16%,251.5,1,3,1,11,7,4.6,-36%,83.8,2,3,1,9,3,3.6,-67%,35.9,0,0,0,0,0,N/A,N/A,0,8350,4088934.03808594,8253.15428242227
47,Clanton Park,033,33,Clanton Park,256,248,283,293,306,277.2,4%,1487.2,32,33,32,34,42,34.6,24%,204.1,84,84,97,92,155,102.4,68%,753.3,67,56,53,73,69,63.6,-5%,335.4,12,8,11,10,20,12.2,100%,97.2,0,0,1,0,0,1,N/A,0,20575,4142429.39233398,10147.1619767237
48,Keelesdale-Eglinton West,110,110,Keelesdale-Eglinton West,143,178,162,160,151,158.8,-6%,1613.8,6,17,20,15,11,13.8,-27%,117.6,33,47,61,51,70,52.4,37%,748.1,17,22,28,26,24,23.4,-8%,256.5,4,2,9,9,6,6,-33%,64.1,0,0,0,0,0,N/A,N/A,0,9357,1750773.86035156,5670.47209873444
49,O'Connor-Parkview,054,54,O'Connor-Parkview,29,40,38,42,46,39,10%,195.6,29,28,21,30,16,24.8,-47%,68,19,27,26,33,31,27.2,-6%,131.8,13,10,13,5,6,9.4,20%,25.5,1,4,4,7,3,3.8,-57%,12.8,1,0,0,1,0,1,-100%,0,23514,4876767.01831055,10927.1779354989
50,Old East York,058,58,Old East York,102,115,108,96,91,102.4,-5%,547.6,8,16,8,10,5,9.4,-50%,30.1,35,48,17,33,20,30.6,-39%,120.3,27,19,11,13,7,15.4,-46%,42.1,4,5,4,1,1,3,0%,6,0,0,1,0,2,1.5,N/A,12,16619,2349933.43847656,7485.02465168495
51,Casa Loma,096,96,Casa Loma,149,151,169,154,127,150,-18%,814.4,33,32,31,41,18,31,-56%,115.4,70,60,47,67,77,64.2,15%,493.7,11,19,32,38,21,24.2,-45%,134.7,6,6,2,10,6,6,-40%,38.5,0,0,0,0,1,1,N/A,6.4,15595,1922539.63574219,5937.87964906831
52,Kensington-Chinatown,078,78,Kensington-Chinatown,203,200,241,343,448,287,31%,3339.5,34,33,34,40,21,32.4,-48%,156.5,60,66,48,58,48,56,-17%,357.8,9,24,12,22,28,19,27%,208.7,10,15,17,14,12,13.6,-14%,89.5,0,1,3,0,3,2.3,N/A,22.4,13415,1534712.32983398,5024.45380911796
53,Kingsway South,015,15,Kingsway South,63,39,61,47,51,52.2,9%,985.5,2,6,2,6,6,4.4,0%,115.9,15,27,15,13,13,16.6,0%,251.2,11,10,9,15,11,11.2,-27%,212.6,1,0,1,1,0,1,-100%,0,0,0,0,0,0,N/A,N/A,0,5175,2638301.24975586,8062.5123274109
54,Runnymede-Bloor West Village,089,89,Runnymede-Bloor West Village,28,42,38,45,36,37.8,-20%,207.4,9,7,4,6,10,7.2,67%,57.6,35,42,27,25,24,30.6,-4%,138.3,22,27,31,23,17,24,-26%,97.9,2,3,6,2,3,3.2,50%,17.3,0,0,0,0,0,N/A,N/A,0,17358,1593977.75805664,6748.11224469082
55,Forest Hill South,101,101,Forest Hill South,119,121,127,135,133,127,-1%,1069.4,9,12,4,10,10,9,0%,80.4,41,32,28,30,35,33.2,17%,281.4,22,15,21,17,33,21.6,94%,265.3,8,6,3,2,7,5.2,250%,56.3,0,0,0,0,0,N/A,N/A,0,12437,2480022.93945313,7188.57417084358
56,Henry Farm,053,53,Henry Farm,69,56,47,57,73,60.4,28%,770.3,21,11,24,19,23,19.6,21%,242.7,32,47,30,33,45,37.4,36%,474.8,20,7,11,24,19,16.2,-21%,200.5,4,4,2,4,5,3.8,25%,52.8,0,0,0,1,1,1,0%,10.6,9477,2593263.59326172,8150.84390289742
57,Annex,095,95,Annex,92,82,71,80,65,78,-19%,281.3,14,15,19,21,26,19,24%,112.5,40,44,34,39,43,40,10%,186.1,27,15,15,10,12,15.8,20%,51.9,8,1,4,5,6,4.8,20%,26,0,0,0,0,2,2,N/A,8.7,23107,2790356.13574219,7606.03906765328
58,Caledonia-Fairbank,109,109,Caledonia-Fairbank,159,147,191,144,173,162.8,20%,1114.9,20,15,8,21,18,16.4,-14%,116,48,48,34,33,44,41.4,33%,283.6,31,33,24,23,11,24.4,-52%,70.9,3,2,2,5,4,3.2,-20%,25.8,0,0,0,0,0,N/A,N/A,0,15517,1544434.55126953,4951.20832198073
59,Humber Heights-Westmount,008,8,Humber Heights-Westmount,88,108,86,69,64,83,-7%,451.7,25,16,15,21,11,17.6,-48%,77.6,49,35,37,40,56,43.4,40%,395.2,7,5,12,8,6,7.6,-25%,42.3,10,8,5,8,9,8,13%,63.5,1,0,1,1,2,1.3,100%,14.1,14169,2802679.6784668,9088.07196931288
60,Roncesvalles,086,86,Roncesvalles,134,120,148,133,138,134.6,4%,1215,39,15,34,24,31,28.6,29%,272.9,50,61,52,68,74,61,9%,651.5,15,15,20,34,19,20.6,-44%,167.3,6,12,8,18,7,10.2,-61%,61.6,0,0,0,0,2,2,N/A,17.6,11358,1504527.2824707,6163.82937233372
61,University,079,79,University,97,119,150,134,119,123.8,-11%,1184.4,19,16,12,9,11,13.4,22%,109.5,28,21,19,15,18,20.2,20%,179.2,17,25,9,15,13,15.8,-13%,129.4,0,1,0,2,2,1.67,0%,19.9,0,0,2,1,0,1.5,-100%,0,10047,1405236.46240234,4971.78003806942
62,Hillcrest Village,048,48,Hillcrest Village,55,45,45,49,53,49.4,8%,352.3,3,0,5,5,4,4.25,-20%,26.6,15,20,18,13,18,16.8,38%,119.7,16,6,7,10,5,8.8,-50%,33.2,1,2,1,5,1,2,-80%,6.6,0,0,0,0,0,N/A,N/A,0,15042,5395665.60131836,9570.81385044379
63,Mount Dennis,115,115,Mount Dennis,98,79,92,111,112,98.4,1%,1345.3,23,19,21,18,31,22.4,72%,372.4,44,64,60,39,67,54.8,72%,804.8,26,32,11,26,16,22.2,-38%,192.2,3,7,7,7,3,5.4,-57%,36,1,0,0,0,1,1,N/A,12,8325,2129358.66479492,6852.13387716639
64,Dorset Park,126,126,Dorset Park,74,88,89,87,84,84.4,-3%,371.4,30,17,24,20,32,24.6,60%,141.5,56,67,21,40,37,44.2,-8%,163.6,10,5,8,12,15,10,25%,66.3,2,4,7,4,4,4.2,0%,17.7,1,0,0,1,0,1,-100%,0,22616,6012087.72290039,10566.8988495568
65,Edenbridge-Humber Valley,009,9,Edenbridge-Humber Valley,35,41,35,30,39,36,30%,336.4,8,7,18,21,7,12.2,-67%,60.4,23,34,32,39,29,31.4,-26%,250.2,6,1,0,5,7,4.75,40%,60.4,4,1,1,3,2,2.2,-33%,17.3,0,0,0,0,0,N/A,N/A,0,11593,5511577.81665039,11180.4121454001
66,Dovercourt-Wallace Emerson-Junction,093,93,Dovercourt-Wallace Emerson-Junction,158,148,112,110,117,129,6%,454,17,10,6,10,17,12,70%,66,46,27,31,34,25,32.6,-26%,97,25,7,26,10,5,14.6,-50%,19.4,9,6,6,2,6,5.8,200%,23.3,2,3,0,2,0,2.3,-100%,0,25772,3725825.31616211,9225.59097159933
67,Newtonbrook West,036,36,Newtonbrook West,193,211,166,179,185,186.8,3%,1239.3,21,16,22,26,29,22.8,12%,194.3,88,97,87,71,80,84.6,13%,535.9,35,35,39,39,29,35.4,-26%,194.3,4,10,12,9,8,8.6,-11%,53.6,0,0,0,0,0,N/A,N/A,0,14928,4695675.71704102,8634.1947815575
