OBJECTID,Neighbourhood_Crime_Rates_Neigh,Neighbourhood_Crime_Rates_Hood_,Hood_ID,Neighbourhood,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_AVG,Assault_CHG,Assault_Rate_2018,Auto_Theft_2014,Auto_Theft_2015,Auto_Theft_2016,Auto_Theft_2017,Auto_Theft_2018,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2018,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2018,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_AVG,Robbery_CHG,Robbery_Rate_2018,Theft_Over_2014,Theft_Over_2015,Theft_Over_2016,Theft_Over_2017,Theft_Over_2018,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2018,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_AVG,Homicide_CHG,Homicide_Rate_2018,Population,Shape__Area,Shape__Length
68,Niagara,082,82,Niagara,251,239,283,287,259,263.8,-10%,1050.4,68,59,44,48,73,58.4,52%,296,28,38,34,40,28,33.6,-30%,113.6,77,107,115,88,73,92,-17%,296,6,5,3,1,3,3.6,200%,12.2,0,2,1,0,2,1.7,N/A,8.1,24658,3241278.57714844,11006.5378660042
69,Beechborough-Greenbrook,112,112,Beechborough-Greenbrook,58,52,61,52,66,57.8,27%,2610.8,20,29,11,19,26,21,37%,1028.5,88,88,58,101,84,83.8,-17%,3322.8,10,7,24,2,6,9.8,200%,237.3,12,19,10,7,6,10.8,-14%,237.3,1,0,0,1,0,1,-100%,0,2528,1833622.81054688,6414.71930916981
70,High Park North,088,88,High Park North,161,175,150,150,172,161.6,15%,1431.9,20,22,15,14,17,17.6,21%,141.5,60,59,55,70,64,61.6,-9%,532.8,20,15,7,5,8,11,60%,66.6,12,16,14,11,12,13,9%,99.9,1,0,0,0,0,1,N/A,0,12012,1882284.21582031,6319.77481403095
71,High Park-Swansea,087,87,High Park-Swansea,114,85,126,92,151,113.6,64%,530.5,22,19,21,23,39,24.8,70%,137,44,36,44,80,54,51.6,-33%,189.7,23,4,16,37,21,20.2,-43%,73.8,3,7,2,10,5,5.4,-50%,17.6,0,0,0,0,0,N/A,N/A,0,28462,5358122.9699707,10614.3665381951
72,Highland Creek,134,134,Highland Creek,86,63,74,83,85,78.2,2%,1086.1,5,8,7,4,11,7,175%,140.6,34,22,44,27,24,30.2,-11%,306.7,10,15,5,11,17,11.6,55%,217.2,3,3,2,2,3,2.6,50%,38.3,0,1,0,0,1,1,N/A,12.8,7826,5248057.65966797,9914.92269803834
73,North St.James Town,074,74,North St.James Town,209,271,272,275,253,256,-8%,1872.3,22,29,35,53,51,38,-4%,377.4,63,41,67,34,60,53,76%,444,38,45,64,59,43,49.8,-27%,318.2,10,3,7,7,13,8,86%,96.2,2,2,0,0,0,2,N/A,0,13513,424196.779052734,2574.40855183258
74,Oakridge,121,121,Oakridge,144,130,157,170,139,148,-18%,795.3,10,11,16,9,14,12,56%,80.1,66,61,45,57,78,61.4,37%,446.3,51,19,32,23,23,29.6,0%,131.6,5,8,6,4,15,7.6,275%,85.8,0,1,0,0,0,1,N/A,0,17477,1878562.21289063,7808.87793836223
75,Rosedale-Moore Park,098,98,Rosedale-Moore Park,68,60,89,93,76,77.2,-18%,290.1,7,9,8,7,10,8.2,43%,38.2,45,48,41,23,37,38.8,61%,141.2,22,17,14,9,11,14.6,22%,42,1,2,4,4,4,3,0%,15.3,0,0,1,0,1,1,N/A,3.8,26195,4669066.01367188,9663.31980357527
76,Oakwood Village,107,107,Oakwood Village,43,54,43,45,35,44,-22%,122.7,19,13,10,22,25,17.8,14%,87.6,30,27,23,22,23,25,5%,80.6,14,30,16,16,17,18.6,6%,59.6,1,1,2,2,2,1.6,0%,7,1,0,0,0,0,1,N/A,0,28525,2219473.03149414,6334.98943628895
77,Wexford/Maryvale,119,119,Wexford/Maryvale,85,106,86,98,94,93.8,-4%,202.3,14,11,4,9,11,9.8,22%,23.7,34,28,28,19,24,26.6,26%,51.6,16,10,15,9,5,11,-44%,10.8,9,6,12,9,4,8,-56%,8.6,1,0,2,0,1,1.3,N/A,2.2,46468,10263854.2653809,14186.6318303103
78,Eglinton East,138,138,Eglinton East,16,28,29,20,20,22.6,0%,317.2,3,3,5,1,5,3.4,400%,79.3,32,13,7,16,13,16.2,-19%,206.2,2,,3,2,1,2,-50%,15.9,2,3,7,0,3,3.75,N/A,47.6,0,0,0,1,1,1,0%,15.9,6306,3223146.07421875,10012.8673377551
79,Elms-Old Rexdale,005,5,Elms-Old Rexdale,60,72,82,108,76,79.6,-30%,2160.9,19,18,7,14,26,16.8,86%,739.3,60,82,56,60,83,68.2,38%,2360,12,27,14,10,7,14,-30%,199,10,12,10,5,8,9,60%,227.5,0,0,0,2,0,2,-100%,0,3517,2931145.375,9356.68702111855
80,Agincourt North,129,129,Agincourt North,244,262,250,234,280,254,20%,888.1,56,49,50,70,81,61.2,16%,256.9,125,94,84,89,102,98.8,15%,323.5,54,40,27,46,35,40.4,-24%,111,16,19,14,14,15,15.6,7%,47.6,1,0,0,0,0,1,N/A,0,31528,7261856.61889648,12381.2649312726
81,Agincourt South-Malvern West,128,128,Agincourt South-Malvern West,93,96,85,76,86,87.2,13%,302.7,22,15,18,7,14,15.2,100%,49.3,27,21,17,8,24,19.4,200%,84.5,10,13,16,10,27,15.2,170%,95,4,4,8,1,2,3.8,100%,7,0,0,0,0,1,1,N/A,3.5,28410,7873163.26464844,15386.5563773989
82,Englemount-Lawrence,032,32,Englemount-Lawrence,130,160,195,195,196,175.2,1%,831.6,50,38,40,39,75,48.4,92%,318.2,91,88,70,86,70,81,-19%,297,30,37,55,35,34,38.2,-3%,144.3,5,9,10,4,14,8.4,250%,59.4,0,0,0,0,1,1,N/A,4.2,23568,3478190.16015625,8311.86895534321
83,Eringate-Centennial-West Deane,011,11,Eringate-Centennial-West Deane,69,69,64,68,59,65.8,-13%,812.9,11,8,13,14,16,12.4,14%,220.4,24,19,16,22,38,23.8,73%,523.6,26,10,29,14,15,18.8,7%,206.7,2,4,3,2,0,2.75,-100%,0,0,0,0,0,2,2,N/A,27.6,7258,8645507.99194336,15361.2462696983
84,L'Amoreaux,117,117,L'Amoreaux,68,93,80,106,85,86.4,-20%,285.9,8,21,8,9,28,14.8,211%,94.2,36,37,67,32,40,42.4,25%,134.6,15,11,17,48,15,21.2,-69%,50.5,9,5,3,7,5,5.8,-29%,16.8,1,0,2,1,0,1.3,-100%,0,29728,7154890.51464844,12565.6271272448
85,Banbury-Don Mills,042,42,Banbury-Don Mills,45,60,51,52,47,51,-10%,115.5,11,17,15,7,10,12,43%,24.6,33,25,16,8,18,20,125%,44.2,9,5,4,5,3,5.2,-40%,7.4,0,3,0,3,3,3,0%,7.4,0,0,0,0,0,N/A,N/A,0,40704,10041548.4545898,18165.1241523351
86,Bathurst Manor,034,34,Bathurst Manor,319,342,343,394,404,360.4,3%,3443.3,83,92,85,80,109,89.8,36%,929,89,73,52,57,83,70.8,46%,707.4,64,62,47,62,64,59.8,3%,545.5,14,12,11,19,14,14,-26%,119.3,0,0,0,0,0,N/A,N/A,0,11733,4760303.54296875,14569.4782829632
87,Alderwood,020,20,Alderwood,96,104,131,119,113,112.6,-5%,1218.9,11,9,10,12,28,14,133%,302,83,75,54,63,47,64.4,-25%,507,14,22,25,45,29,27,-36%,312.8,4,5,7,7,6,5.8,-14%,64.7,1,0,0,0,0,1,N/A,0,9271,4978487.88037109,9168.69866046869
88,Regent Park,072,72,Regent Park,72,74,107,70,75,79.6,7%,667.1,8,10,11,15,12,11.2,-20%,106.7,37,31,37,36,47,37.6,31%,418,7,6,7,11,11,8.4,0%,97.8,4,1,3,2,9,3.8,350%,80,1,0,1,2,2,1.5,100%,17.8,11243,650295.326660156,3258.96763279803
89,Bendale,127,127,Bendale,154,142,168,172,149,157,-13%,385.5,50,32,42,39,48,42.2,23%,124.2,28,46,34,67,38,42.6,-43%,98.3,33,42,36,36,31,35.6,-14%,80.2,6,2,5,3,7,4.6,133%,18.1,1,0,3,0,0,2,N/A,0,38656,7456416.12133789,13174.9840122075
90,Birchcliffe-Cliffside,122,122,Birchcliffe-Cliffside,63,84,84,49,76,71.2,55%,291.9,12,10,12,7,7,9.6,0%,26.9,27,39,13,21,24,24.8,14%,92.2,5,8,11,11,9,8.8,-18%,34.6,5,5,4,5,3,4.4,-40%,11.5,0,1,0,1,1,1,0%,3.8,26036,6008883.00830078,14693.3306866125
91,Weston-Pellam Park,091,91,Weston-Pellam Park,160,166,148,165,158,159.4,-4%,911.3,21,18,11,13,18,16.2,38%,103.8,60,70,59,74,68,66.2,-8%,392.2,47,41,31,37,36,38.4,-3%,207.6,3,6,11,2,4,5.2,100%,23.1,1,1,1,0,1,1,N/A,5.8,17338,1460622.08886719,5535.38547611365
92,Downsview-Roding-CFB,026,26,Downsview-Roding-CFB,57,50,48,50,61,53.2,22%,226.6,69,29,50,24,27,39.8,13%,100.3,48,28,35,48,46,41,-4%,170.9,7,9,3,12,10,8.2,-17%,37.2,3,5,5,4,7,4.8,75%,26,1,0,0,2,1,1.3,0%,3.7,26915,14992190.7773438,21300.3181847144
93,Lambton Baby Point,114,114,Lambton Baby Point,93,70,72,101,81,83.4,-20%,2145.7,35,33,16,32,32,29.6,0%,847.7,68,42,52,50,41,50.6,-18%,1086.1,14,9,14,25,26,17.6,4%,688.7,8,10,5,6,7,7.2,17%,185.4,0,0,0,0,0,N/A,N/A,0,3775,1781937.60522461,8088.47309798011
94,Bay Street Corridor,076,76,Bay Street Corridor,19,12,19,21,16,17.4,-24%,124.3,8,12,13,9,16,11.6,78%,124.3,44,19,15,11,22,22.2,100%,170.8,5,2,10,8,2,5.4,-75%,15.5,3,2,2,1,2,2,100%,15.5,1,2,0,1,1,1.3,0%,7.8,12877,1809355.37255859,6933.183322322
95,Black Creek,024,24,Black Creek,641,726,739,950,1005,812.2,6%,5829.1,34,26,30,31,79,40,155%,458.2,159,170,166,230,221,189.2,-4%,1281.8,143,157,173,207,224,180.8,8%,1299.2,43,26,43,32,46,38,44%,266.8,0,0,2,1,4,2.3,300%,23.2,17241,3453824.93603516,8441.4444203486
96,Willowdale East,051,51,Willowdale East,60,77,63,64,57,64.2,-11%,100.1,13,14,8,13,20,13.6,54%,35.1,31,38,30,36,32,33.4,-11%,56.2,15,27,10,16,3,14.2,-81%,5.3,6,3,4,7,0,5,-100%,0,0,0,0,0,10,10,N/A,17.6,56941,5061015.63525391,9482.38349158487
97,Willowdale West,037,37,Willowdale West,25,20,25,24,18,22.4,-25%,258.8,23,25,24,14,18,20.8,29%,258.8,45,35,47,41,44,42.4,7%,632.7,7,5,3,4,7,5.2,75%,100.7,4,4,2,4,5,3.8,25%,71.9,0,0,0,1,0,1,-100%,0,6954,2883462.22363281,7476.93960132109
98,Rouge,131,131,Rouge,52,77,61,48,60,59.6,25%,94.3,8,13,10,11,11,10.6,0%,17.3,30,12,33,27,32,26.8,19%,50.3,10,,5,11,22,12,100%,34.6,3,3,3,1,5,3,400%,7.9,1,0,0,4,1,2,0%,1.6,63639,37534494.510498,36133.5599953824
99,Mount Olive-Silverstone-Jamestown,002,2,Mount Olive-Silverstone-Jamestown,105,106,129,116,124,116,7%,370.3,30,29,29,34,37,31.8,9%,110.5,71,62,59,96,93,76.2,-3%,277.7,25,27,34,32,30,29.6,-6%,89.6,19,9,12,14,9,12.6,-36%,26.9,2,2,3,0,4,2.8,N/A,11.9,33484,4637541.7980957,12954.6638703728
100,Cabbagetown-South St.James Town,071,71,Cabbagetown-South St.James Town,42,29,44,41,35,38.2,-15%,132.5,8,14,4,4,39,13.8,875%,147.6,42,34,31,31,37,35,19%,140,7,12,9,11,8,9.4,-27%,30.3,9,5,3,5,3,5,-40%,11.4,2,1,0,2,0,1.7,-100%,0,26421,1417962.99780273,5759.1128430106
101,Mount Pleasant East,099,99,Mount Pleasant East,33,42,48,40,35,39.6,-13%,104.5,12,7,8,17,15,11.8,-12%,44.8,18,18,29,11,29,21,164%,86.6,5,12,12,6,6,8.2,0%,17.9,2,4,3,4,5,3.6,25%,14.9,0,0,0,0,0,N/A,N/A,0,33503,3088926.61523438,11249.9144973602
102,Mount Pleasant West,104,104,Mount Pleasant West,143,171,185,181,153,166.6,-15%,1004.3,18,9,14,21,27,17.8,29%,177.2,57,46,53,56,86,59.6,54%,564.5,23,33,40,30,37,32.6,23%,242.9,3,5,3,13,9,6.6,-31%,59.1,0,1,1,0,0,1,N/A,0,15234,1343312.19189453,5182.46976766325
103,Blake-Jones,069,69,Blake-Jones,26,25,26,35,19,26.2,-46%,207.3,23,22,13,25,39,24.4,56%,425.4,34,39,32,30,18,30.6,-40%,196.4,0,6,4,6,2,4.5,-67%,21.8,4,5,3,5,4,4.2,-20%,43.6,0,0,1,0,0,1,N/A,0,9167,941146.775390625,4042.74344138641
104,Rexdale-Kipling,004,4,Rexdale-Kipling,272,321,326,309,295,304.6,-5%,4299,19,14,21,27,34,23,26%,495.5,182,128,141,142,189,156.4,33%,2754.3,56,62,62,80,54,62.8,-33%,786.9,30,28,27,36,53,34.8,47%,772.4,0,0,0,1,0,1,-100%,0,6862,2505575.80712891,7067.05855837852
105,East End-Danforth,062,62,East End-Danforth,194,240,205,187,210,207.2,12%,1601.2,24,9,12,23,19,17.4,-17%,144.9,49,37,45,36,42,41.8,17%,320.2,52,57,25,51,24,41.8,-53%,183,6,2,4,4,20,7.2,400%,152.5,3,0,0,0,1,2,N/A,7.6,13115,2639018.66137695,7372.23725302901
106,New Toronto,018,18,New Toronto,42,36,37,31,34,36,10%,397.9,0,4,6,5,5,5,0%,58.5,14,18,13,18,7,14,-61%,81.9,6,5,8,1,4,4.8,300%,46.8,0,1,2,1,1,1.25,0%,11.7,0,0,1,0,2,1.5,N/A,23.4,8545,3481238.47631836,11321.7310501414
107,Palmerston-Little Italy,080,80,Palmerston-Little Italy,336,372,450,429,547,426.8,28%,4783.1,24,22,17,16,40,23.8,150%,349.8,134,95,128,130,145,126.4,12%,1267.9,127,133,118,93,159,126,71%,1390.3,6,19,12,20,37,18.8,85%,323.5,0,0,1,0,0,1,N/A,0,11436,1435236.8840332,4967.45793601471
108,Parkwoods-Donalda,045,45,Parkwoods-Donalda,19,16,10,25,17,17.4,-32%,56.4,5,11,9,11,25,12.2,127%,83,40,22,20,63,34,35.8,-46%,112.9,0,1,2,2,7,3,250%,23.2,5,5,4,5,2,4.2,-60%,6.6,0,0,0,0,1,1,N/A,3.3,30123,7464327.24243164,13452.1944718155
109,Pelmo Park-Humberlea,023,23,Pelmo Park-Humberlea,41,34,44,34,32,37,-6%,128.6,2,5,5,7,8,5.4,14%,32.2,12,11,15,22,7,13.4,-68%,28.1,3,3,6,9,4,5,-56%,16.1,1,1,0,3,2,1.75,-33%,8,0,0,1,0,1,1,N/A,4,24883,4276047.78759766,13837.0354920925
110,Playter Estates-Danforth,067,67,Playter Estates-Danforth,122,162,173,184,173,162.8,-6%,3285.2,17,20,28,25,29,23.8,16%,550.7,70,85,53,84,86,75.6,2%,1633.1,54,45,42,37,45,44.6,22%,854.5,5,10,5,7,9,7.2,29%,170.9,0,0,0,0,2,2,N/A,38,5266,887593.010986328,4501.75217483297
111,Willowridge-Martingrove-Richview,007,7,Willowridge-Martingrove-Richview,388,484,465,562,547,489.2,-3%,1991.3,15,25,22,18,29,21.8,61%,105.6,75,120,85,131,127,107.6,-3%,462.3,58,37,61,57,73,57.2,28%,265.8,42,27,34,38,44,37,16%,160.2,0,1,0,0,2,1.5,N/A,7.3,27469,5517423.94897461,12059.2337091831
112,Woburn,137,137,Woburn,24,24,32,34,27,28.2,-21%,77.3,3,8,3,3,15,6.4,400%,43,28,17,20,19,11,19,-42%,31.5,10,7,7,9,13,9.2,44%,37.2,2,2,2,3,2,2.2,-33%,5.7,3,3,0,0,0,3,N/A,0,34912,12334072.6933594,18111.2651989149
113,Woodbine-Lumsden,060,60,Woodbine-Lumsden,99,108,111,95,141,110.8,48%,1535.4,25,25,23,24,42,27.8,75%,457.4,38,36,35,50,69,45.6,38%,751.4,16,21,14,18,27,19.2,50%,294,6,2,4,8,6,5.2,-25%,65.3,0,1,0,1,0,1,-100%,0,9183,1196243.59375,4871.17407548303
114,Bayview Village,052,52,Bayview Village,89,83,89,103,71,87,-31%,289.2,31,14,9,18,23,19,28%,93.7,30,40,36,31,35,34.4,13%,142.6,23,34,15,20,6,19.6,-70%,24.4,4,5,2,2,3,3.2,50%,12.2,0,0,0,0,1,1,N/A,4.1,24547,5159044.45458984,9504.07205272724
115,Bedford Park-Nortown,039,39,Bedford Park-Nortown,45,59,75,69,75,64.6,9%,562.8,9,19,17,14,37,19.2,164%,277.7,11,20,13,12,7,12.6,-42%,52.5,18,11,23,26,15,18.6,-42%,112.6,2,1,0,2,1,1.5,-50%,7.5,0,0,0,0,0,N/A,N/A,0,13326,5518148.64550781,12816.8790394661
116,Rockcliffe-Smythe,111,111,Rockcliffe-Smythe,180,177,205,212,275,209.8,30%,833.2,13,20,24,35,32,24.8,-9%,97,81,93,143,81,83,96.2,2%,251.5,46,37,37,55,22,39.4,-60%,66.7,16,13,20,25,24,19.6,-4%,72.7,0,2,0,0,0,2,N/A,0,33006,5070764.84326172,11619.9535423461
117,Bridle Path-Sunnybrook-York Mills,041,41,Bridle Path-Sunnybrook-York Mills,59,65,66,61,43,58.8,-30%,438.1,28,24,30,30,31,28.6,3%,315.9,43,28,30,20,34,31,70%,346.4,20,20,15,18,14,17.4,-22%,142.7,6,4,3,3,4,4,33%,40.8,0,0,0,0,0,N/A,N/A,0,9814,8838191.99023438,15651.2909822713
118,Don Valley Village,047,47,Don Valley Village,100,125,89,64,110,97.6,72%,323.8,20,16,14,8,19,15.4,138%,55.9,48,33,59,32,40,42.4,25%,117.8,14,19,8,15,20,15.2,33%,58.9,3,8,6,8,7,6.4,-13%,20.6,2,1,0,0,0,1.5,N/A,0,33970,4212380.63647461,8326.61520187435
119,Weston,113,113,Weston,43,45,43,46,32,41.8,-30%,280.1,21,16,31,31,24,24.6,-23%,210.1,63,60,51,42,63,55.8,50%,551.5,8,10,21,6,8,10.6,33%,70,5,4,2,6,6,4.6,0%,52.5,0,0,3,1,1,1.7,0%,8.8,11424,2565537.82250977,10202.3941004885
120,Lawrence Park South,103,103,Lawrence Park South,131,128,139,112,127,127.4,13%,760.1,41,36,31,49,48,41,-2%,287.3,36,35,33,34,24,32.4,-29%,143.6,32,37,53,44,18,36.8,-59%,107.7,6,3,4,10,16,7.8,60%,95.8,0,0,0,0,0,N/A,N/A,0,16709,3242276.78198242,9777.67274150127
121,Brookhaven-Amesbury,030,30,Brookhaven-Amesbury,53,43,28,70,76,54,9%,403.9,6,9,8,7,12,8.4,71%,63.8,25,19,27,28,11,22,-61%,58.5,4,7,6,7,10,6.8,43%,53.1,0,2,3,0,3,2.7,N/A,15.9,0,0,0,0,0,N/A,N/A,0,18816,3507374.22216797,8980.44631815839
122,Long Branch,019,19,Long Branch,65,97,93,92,75,84.4,-18%,532.9,29,31,21,21,43,29,105%,305.5,19,41,25,26,29,28,12%,206.1,24,16,20,17,16,18.6,-6%,113.7,5,8,1,6,9,5.8,50%,64,0,0,0,0,0,N/A,N/A,0,14073,2261879.99609375,7806.77746050755
123,Malvern,132,132,Malvern,88,72,109,106,75,90,-29%,209.3,45,37,54,40,51,45.4,28%,142.3,45,40,40,41,65,46.2,59%,181.4,34,16,62,23,16,30.2,-30%,44.6,6,3,5,4,4,4.4,0%,11.2,0,0,4,2,2,2.7,100%,5.6,35841,8866243.62231445,12081.208425323
124,Dufferin Grove,083,83,Dufferin Grove,40,41,23,48,36,37.6,-25%,212.6,8,4,11,12,18,10.6,50%,106.3,27,17,14,30,39,25.4,30%,230.3,2,6,3,7,8,5.2,14%,47.2,2,4,2,3,8,3.8,167%,47.2,0,0,1,0,0,1,N/A,0,16937,1387988.8737793,5148.29461665229
125,Maple Leaf,029,29,Maple Leaf,140,160,108,120,148,135.2,23%,901.9,12,8,10,16,19,13,19%,115.8,47,49,61,39,46,48.4,18%,280.3,20,28,32,47,50,35.4,6%,304.7,4,6,8,5,8,6.2,60%,48.8,0,0,0,0,0,N/A,N/A,0,16410,2526426.71289063,6377.76115574361
126,Markland Wood,012,12,Markland Wood,209,230,260,276,271,249.2,-2%,1551.7,48,51,50,41,67,51.4,63%,383.6,109,61,62,68,57,71.4,-16%,326.4,71,77,67,80,52,69.4,-35%,297.7,9,11,14,18,18,14,0%,103.1,0,0,0,0,0,N/A,N/A,0,17465,2953752.24853516,7846.52451746146
127,Steeles,116,116,Steeles,114,91,86,89,117,99.4,31%,479.5,15,8,8,3,9,8.6,200%,36.9,31,67,37,22,38,39,73%,155.7,26,31,15,15,16,20.6,7%,65.6,4,2,4,0,5,3.75,N/A,20.5,0,0,0,0,0,N/A,N/A,0,24400,4561345.45239258,8943.75977865659
128,Lawrence Park North,105,105,Lawrence Park North,129,150,181,184,225,173.8,22%,1804,12,28,15,8,32,19,300%,256.6,123,51,81,97,95,89.4,-2%,761.7,28,29,27,38,42,32.8,11%,336.8,8,12,10,13,10,10.6,-23%,80.2,1,0,0,0,0,1,N/A,0,12472,2289800.83496094,6540.18323176072
129,Yonge-Eglinton,100,100,Yonge-Eglinton,18,12,19,17,17,16.6,0%,107.8,21,16,19,18,20,18.8,11%,126.9,31,24,28,26,22,26.2,-15%,139.6,4,1,27,4,2,7.6,-50%,12.7,2,4,3,3,5,3.4,67%,31.7,0,0,0,0,0,N/A,N/A,0,15763,1650438.08276367,5686.68472630282
130,Morningside,135,135,Morningside,60,45,45,43,52,49,21%,258.7,2,5,4,1,2,2.8,100%,9.9,46,23,18,10,20,23.4,100%,99.5,9,7,10,8,9,8.6,13%,44.8,4,2,6,0,3,3.75,N/A,14.9,0,1,1,0,1,1,N/A,5,20103,5740138.35058594,13214.7096012073
131,Moss Park,073,73,Moss Park,56,63,60,61,55,59,-10%,294.9,8,13,13,13,11,11.6,-15%,59,22,30,27,26,38,28.6,46%,203.8,12,14,5,9,10,10,11%,53.6,1,4,,3,3,2.75,0%,16.1,1,1,3,3,4,2.4,300%,21.4,18649,1413051.85986328,6204.52629680666
132,Little Portugal,084,84,Little Portugal,123,135,137,155,159,141.8,3%,1040.4,12,5,6,9,15,9.4,67%,98.1,61,79,40,55,97,66.4,76%,634.7,19,24,20,15,35,22.6,133%,229,9,8,4,4,9,6.8,125%,58.9,1,2,1,0,1,1.3,N/A,6.5,15283,1216369.31567383,5440.95149842893
133,Woodbine Corridor,064,64,Woodbine Corridor,90,126,131,109,101,111.4,-7%,1006.6,58,48,42,38,57,48.6,50%,568.1,38,33,35,39,40,37,3%,398.6,18,32,27,14,18,21.8,29%,179.4,5,3,5,6,3,4.4,-50%,29.9,0,1,0,0,0,1,N/A,0,10034,1595684.46313477,5428.08792095161
134,Newtonbrook East,050,50,Newtonbrook East,94,122,123,125,122,117.2,-2%,526,13,11,8,9,16,11.4,78%,69,18,71,28,51,61,45.8,20%,263,31,31,35,40,28,33,-30%,120.7,6,2,3,3,6,4,100%,25.9,0,1,1,0,1,1,N/A,4.3,23195,4084780.95239258,8094.59270211342
135,Milliken,130,130,Milliken,154,180,186,203,228,190.2,12%,741.7,37,26,50,28,47,37.6,68%,152.9,88,77,80,100,72,83.4,-28%,234.2,27,32,39,58,78,46.8,34%,253.7,11,12,16,22,16,15.4,-27%,52.1,0,0,0,0,0,N/A,N/A,0,30739,9477859.27905273,16781.4772365817
136,Pleasant View,046,46,Pleasant View,261,270,278,252,260,264.2,3%,1365.4,35,45,57,44,53,46.8,20%,278.3,33,35,29,40,36,34.6,-10%,189.1,34,40,61,42,39,43.2,-7%,204.8,6,6,9,5,11,7.4,120%,57.8,0,0,0,0,0,N/A,N/A,0,19042,2967493.11083984,7944.82978178263
137,Wychwood,094,94,Wychwood,70,84,67,74,86,76.2,16%,1162.6,4,5,9,3,10,6.2,233%,135.2,20,13,40,20,31,24.8,55%,419.1,18,6,10,8,9,10.2,13%,121.7,3,5,3,2,,3.25,-100%,0,0,0,0,0,0,N/A,N/A,0,7397,1682110.93334961,5435.02206192671
138,Leaside-Bennington,056,56,Leaside-Bennington,87,104,83,134,102,102,-24%,502.3,31,29,39,55,49,40.6,-11%,241.3,20,28,22,18,41,25.8,128%,201.9,23,12,18,27,17,19.4,-37%,83.7,1,9,1,7,11,5.8,57%,54.2,0,1,0,0,0,1,N/A,0,20308,4784766.4609375,14836.6185416003
139,Briar Hill-Belgravia,108,108,Briar Hill-Belgravia,78,78,105,82,90,86.6,10%,1968.5,14,26,11,15,19,17,27%,415.6,27,21,25,21,11,21,-48%,240.6,17,21,15,13,17,16.6,31%,371.8,0,2,1,1,2,1.5,100%,43.7,1,0,0,1,0,1,-100%,0,4572,1830325.19726563,6289.70724957753
140,Mimico,017,17,Mimico,20,27,15,25,26,22.6,4%,89.9,3,12,10,5,11,8.2,120%,38,35,37,49,62,54,47.4,-13%,186.7,1,2,2,1,0,1.5,-100%,0,6,1,4,6,6,4.6,0%,20.7,0,1,1,1,0,1,-100%,0,28917,7059172.10717773,23377.9559815099
